epoch,ICU_medSplit,durFix_mean,durFix_se
1,High,322.25,19.566124633485213
1,Low,330.875,16.470785009042604
2,High,162.26785714285714,18.392856320459458
2,Low,178.103125,18.45675867684704
3,High,124.29464285714286,19.26392162176087
3,Low,126.84375,19.817068423999405
4,High,218.43125,23.84943924295759
4,Low,269.6720833333333,20.935157955820383
5,High,139.50625,24.527714386727087
5,Low,183.64,26.13826641140513
6,High,124.65178571428571,22.171109854112725
6,Low,203.55,32.02676783837352
7,High,219.8625,29.371740408348032
7,Low,289.85,26.262823943254062
8,High,152.075,27.735828415329788
8,Low,238.33303571428573,30.53732138326824
9,High,136.425,25.669530101679417
9,Low,215.63125,27.05014779614465
