epoch,ICU_medSplit,latFix_mean,latFix_se
1,High,245.13830357142857,7.066378700626244
1,Low,233.49752976190476,4.6237789571004795
2,High,274.4554232804233,17.87012282879641
2,Low,250.79448621553885,7.461203271063188
3,High,270.9118675595238,11.457853147366958
3,Low,256.97473958333336,17.80506960498843
4,High,285.86142213642216,16.57187095614368
4,Low,262.06955357142857,14.88840196175367
5,High,269.74255102040814,16.166864254955243
5,Low,256.85598544973544,21.17308722057234
6,High,303.1213203463203,18.75345288285375
6,Low,253.39591836734692,24.14841858544433
7,High,287.96054894179895,18.72183934042529
7,Low,231.23230373230373,13.240283591672204
8,High,296.1116443452381,22.89887670089647
8,Low,216.24942084942086,20.330839505224784
9,High,334.12987012987014,26.071886823924576
9,Low,235.4622807017544,16.921932171498828
